post_id,registrationNumber,body
5bb66e60a5b16a0001ef4fbc,00007,"A nos 7 ans, aux 20 ans de notre Nasnous, à toutes les bonnes nouvelles que nous avons eu dernièrement, que dieu nous bénisse. Amen."
5bb70bd7a5b16a0001ef4fc3,nan,
5bb70bd7a5b16a0001ef4fc4,nan,
5bb70bd7a5b16a0001ef4fc5,00057,C'est parti ! 
5bb73364a5b16a0001ef4fd5,00086,
5bb74b6ca5b16a0001ef4fdd,00058,Advyteam #ConseilIt SMA YM7
5bb75f47a5b16a0001ef4fdf,00026,"Nous sommes le 1er vendredi du mois d'octobre, il est temps de sourire  ... 
Faites nous part de votre plus beau cliché pour la journée mondiale du sourire et N'oubliez Jamais il faut toujours montrer ses dents surtout quand c'est le weekend :D"
5bb770d5a5b16a0001ef4fe8,00095,
5bb7729da5b16a0001ef4fe9,00066,Guess what happened ? 
5bb77e4da5b16a0001ef4ff2,00026,"Un client toujours souriant :D Un client content : Team M6
""Journée Mondiale du sourire""
PS: oui c'est une équipe que de filles et ce n'est qu'une partie :)"
5bb78b36a5b16a0001ef5005,00086,
5bb78b4ca5b16a0001ef5006,00066,
5bb78bf4a5b16a0001ef5008,00066,
5bb78bf4a5b16a0001ef5009,00066," @Ines: notre photo de ""La journée Mondiale du Sourire ""  :D "
5bb88f8ea5b16a0001ef5012,00072,hello hello waiting for everyone to join! Merci advyteam et bon week-end !
5bba15a5a5b16a0001ef5013,00118,"Run in Carthage ✔ 16k under 2 hours. One of the hardest races that I've ever done. #NailedIt 😉
Runners show up!"
5bbb1027a5b16a0001ef501c,00001,"Résultat du jeu. C'était la mangue ! Aucune bonne réponse malgré que certains n'étaient pas loin en tentant des fruits exotiques comme le fruit de la passion ou le litchi que j'aime bien aussi 🙂 Pas de gagnant, pas de cadeaux. Je retenterai ma chance dans la journée avec une autre question qui n'aura pas non plus de réponse sur Google 😜 Stay tuned ! "
5bbb3b17a5b16a0001ef5028,00001,"2nd challenge ! En 1999 (oui oui ça ne nous rajeunit pas... 😛), l'Ecole Polytechnique de Tunisie a remporté sa première et unique coupe de Tunis à ce jour (le trophée est toujours dans le bureau du directeur d'ailleurs 😃). Cette compétition s'est jouée en 6 tours allant des 32ème de finale jusqu'à la finale. Du vrai foot à 11 attention ! Sur des terrains aux dimensions officielles et avec de vrais arbitres et juges de touches 😁
J'avais 21 ans et je jouais en position d'attaquant (9). Deux questions :
1/ Combien de buts j'ai marqué au total dans les 6 matchs de la compétition ?
2/ Combien de buts j'ai marqué en finale (contre la fac Achari3a wa Oussoul Eddin de Tunis) ? 

La première question déterminera le gagnant, la 2ème départagera en cas de plusieurs bonnes réponses. 24h de délai pour les réponses ! Le cadeau sera périmé ! Faites un effort ! 😝"
5bbbc083a5b16a0001ef5043,00039,En attendant la première publication de Amine Makni ;-)
5bbbc7a5a5b16a0001ef5044,00024,"Imitons l'abeille, elle fait de grandes randonnées, sans perdre son objectif "
5bbbc99ca5b16a0001ef5045,00039,Waaaou ! D'où vient cette inspiration @Younes ?
5bbbcaefa5b16a0001ef5046,00024,@Amine l'inspiration vient d'ici :D
5bbc4d12a5b16a0001ef504f,00032,
5bbc4d12a5b16a0001ef5050,00032,
5bbc4d12a5b16a0001ef5051,00032,
5bbc4d12a5b16a0001ef5052,00032,
5bbc4d12a5b16a0001ef5053,00032,@younes elle vient d'ici mon ami ;)
5bbc6578a5b16a0001ef505e,00086,
5bbc6578a5b16a0001ef505f,00086,
5bbc6578a5b16a0001ef5060,00086,"Lablebi party :)
Saha @Rania Makhloufi,pour une 1ère fois c'est pas mal ,non?"
5bbc681ca5b16a0001ef5068,00068,"Petit déjeuner ""Lablebi"" Merci Seddik :D"
5bbc6861a5b16a0001ef5069,00032,"You Made My Day !!!!! 
Il était une fois Sabouuuuurrr"
5bbc9278a5b16a0001ef5083,00011,un coucou de l'apec ! ça change de nos locaux à tunis !! PS : c'est moi ili dima n9ala9 fi manel :p
5bbca8c1a5b16a0001ef508e,00027,"fama chkoun tay7 10 dt fi salle leftour , yji yhezha ahika 3indi "
5bbcab98a5b16a0001ef5092,00032,"Sadik el barnamej Ilyes Ghomri 
#Radio_ADVYTEAM
#Back_to_the_roots
https://www.youtube.com/watch?v=Ex7vF4Ecm3o"
5bbdb881a5b16a0001ef50b2,00038,Happy Birthday MBA !! Best wishes ! 😁
5bbde0b7a5b16a0001ef50c3,00095,L'engagement manager le plus attentionné de tous les temps 😊😊 #advyteamfamily
5bbe04e0a5b16a0001ef50d1,00089,"Mohamed, c'est ma première publication sur Accretio et je t'ai réservé l'exclusivité :-)) 
Joyeux anniversaire !!!!
#HRLadies"
5bbe0bf7a5b16a0001ef50d8,00001,"Fin du suspense ! 
@Ali : il fallait être un peu plus fou 😜
@Ines : je prends acte de la provocation 😜 on va en reparler 😁😁
@TBM7 et Hella, 15 et 18 😯💥 merci de la confiance, si j'avais tiré les peno j'aurai été pas loin de vos pronoctics 😁
Merci @Zeineb , la seule qui connaissait les réponses avant le début du jeu et qui a gentiment accepté de ne pas participer et de ne pas vendre la mèche également 👍
Les réponses :
- 13 buts au total sur l'ensemble des matchs de coupe (sans tirer de peno, 4 de mémoire, on était bien organisés avec un ordre précis des tireurs ;) c'est du pro, ça rigole pas 🤞✌
- 2 buts et une passe décisive en finale (score final 3-1)

Il n'y a pas de ""tout pile"" mais les deux plus proches ""ex aequo"" sont Wael et Ali qui ont répondu 11 et 2. Deux gagnants donc au lieu d'un !  
Le cadeau de Wael est déjà choisi. Un billet pour le match de Champions League, PSG-Napoli, le 24 octobre au Parc des Princes.
Le cadeau d'Ali pas encore choisi, à moins que la Juve ne joue à Paris en phases avancées de Champions League 😛

A la prochaine, pour de nouveaux challenges !💥💥💥"
5bbe1010a5b16a0001ef50dc,00009,"Quand je reçois un mail d'un utilisateur qui me dit : ""Bonjour, merci de me killer!"".
#KorianLife
"
5bbe18ffa5b16a0001ef50e1,00032,#ADVYTEAM_CHALLENGE
5bbe3839a5b16a0001ef50e7,00095,pause gourmande 
5bbe7c40a5b16a0001ef50ea,00048,J-2
5bbf0694a5b16a0001ef50ee,00030,"Je vous remercie d’avoir pensé à mon anniversaire. 
Ce fut une belle surprise pour moi de vous retrouver tous réunis pour le fêter avec moi. Ce geste que vous avez pris soin d'organiser m'a vraiment ravie. Grâce à vous cette année mon anniversaire restera un souvenir inoubliable.
J'ai été très touché par toutes vos attentions, vos sourires, vos publications et vos commentaires sur Accretio.
Je suis très content d'être entouré par une famille formidable comme vous!
Merci à vous "
5bbf0c7ba5b16a0001ef50f1,00032,"#QUOTE_OF_THE_DAY
#BACK_TO_THE_ROOTS"
5bbf3b79a5b16a0001ef50fb,00058,"Couscous Boga
J'ai envie d'une sieste là "
5bbf6976a5b16a0001ef5109,00096,"Celui qui a oublié ça à la cuisine du première étage, qu'il vient les récupérer."
5bbf6a66a5b16a0001ef510c,00093,https://youtu.be/hPqdHVVJlYM
5bbf7b4fa5b16a0001ef5116,00032,"Quand les Emires chantent سر حبي  💰❤️
#Radio_ADVYTEAM
#ILYES_MAHICH_FEKRET_SAMY_EL_FEHRI

https://www.youtube.com/watch?v=R8qzf3lxoj8"
5bbfaefea5b16a0001ef5118,00001,"10ème consultant IT staffé en France, avec la confirmation de Saber aujourd'hui. Ça se fête !
Big Up à toute la team de la BU, à Akram, Amen, Kamergi pour l'énorme effort sur le business et le management de la BU. Big up à toute l'équipe pour l'esprit d'équipe montré, pour cette fougue et cette entraide continue. Une nouvelle BU née en 2018, avec une âme et un ADN purement Advyteam, que je constate régulièrement en les côtoyant. 
Cap sur les 15 maintenant ! Keep going guys ! You rock !"
5bc054a9a5b16a0001ef5127,00037,"une semaine folle vient de s'écouler.....Bravo la team !!!
#DSI FORUM Loading....."
5bc06672a5b16a0001ef5134,00010,Gestion et animation d'une équipe projet
5bc06784a5b16a0001ef5135,00117,"#HR_Ladies
Gros Merci à notre Seddik '' qui s'est rattrapé '' - Zamen a dit :p 
#LablabioFiAccretio "
5bc07092a5b16a0001ef513a,00040,"Pour les funs du sport...

https://www.youtube.com/watch?v=-hIc_epqfI0

just do it"
5bc08dafa5b16a0001ef5142,00093,en direct de Sabat edziri
5bc09ecba5b16a0001ef514a,00118,"Aujourdh'ui j'ai appris ce qu'est le SCRUM et je partage avec vous ma lecture.
https://www.maxxor.com/software-development-process 
#AjdJaiAppris #HRLadies"
5bc0ab5aa5b16a0001ef514d,nan,
5bc0ab5aa5b16a0001ef514e,nan,
5bc0ab5aa5b16a0001ef514f,nan,
5bc0ab5aa5b16a0001ef5150,00002,"Nos chefs de projet en action, ça bosse dur :)"
5bc0adeea5b16a0001ef5154,00037,"خرّج ال""SALES""إلّي فيك !
#DSI FORUM Loading..."
